Date,Open,High,Low,Close,Adj Close,Volume
1975-02-07,0.0,5.5,4.0,4.0,2.4224884510040283,1500
1975-02-10,0.0,5.5,4.0,4.0,2.4224884510040283,100
1975-02-11,0.0,5.5,4.0,4.0,2.4224884510040283,50
1975-02-13,0.0,5.5,4.0,4.0,2.4224884510040283,500
1975-02-14,0.0,5.0,3.5,3.5,2.1196773052215576,100
1975-02-20,0.0,5.0,3.5,3.5,2.1196773052215576,50
1975-03-03,0.0,4.5,3.5,3.5,2.1196773052215576,50
1975-03-04,0.0,4.5,3.5,3.5,2.1196773052215576,500
1975-03-05,0.0,4.5,3.5,3.5,2.1196773052215576,200
1975-03-07,0.0,5.0,4.0,4.0,2.4224884510040283,300
1975-03-10,0.0,5.0,4.0,4.0,2.4224884510040283,400
1975-03-13,0.0,4.5,3.5,3.5,2.1196773052215576,400
1975-03-14,0.0,4.5,3.75,3.75,2.271082878112793,500
1975-03-17,0.0,4.5,3.75,3.75,2.271082878112793,50
1975-03-19,0.0,4.5,3.75,3.75,2.271082878112793,300
1975-03-21,0.0,4.75,4.0,4.0,2.4224884510040283,1300
1975-03-24,0.0,4.75,4.0,4.0,2.4224884510040283,2200
1975-03-25,0.0,4.75,4.0,4.0,2.4224884510040283,500
1975-03-26,0.0,5.0,4.25,4.25,2.5738937854766846,800
1975-03-27,0.0,5.25,4.5,4.5,2.72529935836792,300
1975-03-31,0.0,5.25,4.5,4.5,2.72529935836792,900
1975-04-01,0.0,5.0,4.25,4.25,2.5738937854766846,100
1975-04-02,0.0,5.0,4.25,4.25,2.5738937854766846,1000
1975-04-03,0.0,5.0,4.25,4.25,2.5738937854766846,50
1975-04-07,0.0,5.0,4.25,4.25,2.5738937854766846,200
1975-04-08,0.0,5.25,4.5,4.5,2.72529935836792,400
1975-04-09,0.0,5.25,4.5,4.5,2.72529935836792,600
1975-04-10,0.0,5.5,4.75,4.75,2.876704216003418,50
1975-04-15,0.0,5.25,4.5,4.5,2.72529935836792,100
1975-04-16,0.0,5.5,4.75,4.75,2.876704216003418,100
1975-04-17,0.0,5.5,4.75,4.75,2.876704216003418,1000
1975-04-21,0.0,5.75,5.0,5.0,3.0281105041503906,50
1975-04-22,0.0,5.75,5.0,5.0,3.0281105041503906,400
1975-04-23,0.0,5.75,5.0,5.0,3.0281105041503906,100
1975-04-24,0.0,5.75,5.0,5.0,3.0281105041503906,300
1975-04-25,0.0,5.75,5.0,5.0,3.0281105041503906,800
1975-04-28,0.0,6.25,5.5,5.5,3.3309214115142822,1400
1975-04-29,0.0,6.0,5.25,5.25,3.179516553878784,1700
1975-04-30,0.0,6.25,5.5,5.5,3.3309214115142822,300
1975-05-01,0.0,6.25,5.5,5.5,3.3309214115142822,1100
1975-05-02,0.0,6.5,5.75,5.75,3.4823272228240967,1600
1975-05-05,0.0,6.5,5.75,5.75,3.4823272228240967,900
1975-05-07,0.0,6.25,5.5,5.5,3.3309214115142822,1800
1975-05-08,0.0,6.25,5.5,5.5,3.3309214115142822,500
1975-05-13,0.0,6.25,5.5,5.5,3.3309214115142822,50
1975-05-19,0.0,6.25,5.5,5.5,3.3309214115142822,600
1975-05-21,0.0,6.25,5.5,5.5,3.3309214115142822,200
1975-05-22,0.0,6.25,5.5,5.5,3.3309214115142822,400
1975-05-23,0.0,6.25,5.5,5.5,3.3309214115142822,1600
1975-06-03,0.0,6.25,5.5,5.5,3.3309214115142822,900
1975-06-06,0.0,6.25,5.5,5.5,3.3309214115142822,3500
1975-06-09,0.0,6.5,5.75,5.75,3.4823272228240967,50
1975-06-10,0.0,6.5,5.75,5.75,3.4823272228240967,800
1975-06-11,0.0,7.25,6.5,6.5,3.936542272567749,3800
1975-06-12,0.0,7.25,6.5,6.5,3.936542272567749,1500
1975-06-13,0.0,7.25,6.5,6.5,3.936542272567749,2500
1975-06-16,0.0,7.25,6.5,6.5,3.936542272567749,400
1975-06-17,0.0,7.25,6.5,6.5,3.936542272567749,200
1975-06-18,0.0,7.25,6.5,6.5,3.936542272567749,3500
1975-06-20,0.0,7.25,6.5,6.5,3.936542272567749,500
1975-06-24,0.0,7.25,6.5,6.5,3.936542272567749,600
1975-06-25,0.0,7.25,6.5,6.5,3.936542272567749,100
1975-06-26,0.0,7.25,6.5,6.5,3.936542272567749,50
1975-07-07,0.0,7.25,6.5,6.5,3.936542272567749,300
1975-07-08,0.0,7.25,6.5,6.5,3.936542272567749,4600
1975-07-09,0.0,7.5,6.75,6.75,4.087948322296143,1800
1975-07-10,0.0,8.0,7.25,7.25,4.3907599449157715,5200
1975-07-11,0.0,9.0,8.25,8.25,4.996382713317871,10500
1975-07-14,0.0,9.5,8.75,8.75,5.299192905426025,10700
1975-07-15,0.0,9.5,8.75,8.75,5.299192905426025,4300
1975-07-16,0.0,9.25,8.5,8.5,5.147787570953369,7600
1975-07-17,0.0,9.0,8.25,8.25,4.996382713317871,1100
1975-07-18,0.0,9.0,8.25,8.25,4.996382713317871,1300
1975-07-21,0.0,9.0,8.25,8.25,4.996382713317871,700
1975-07-22,0.0,9.0,8.25,8.25,4.996382713317871,1500
1975-07-23,0.0,8.75,8.25,8.25,4.996382713317871,200
1975-07-24,0.0,8.75,8.25,8.25,4.996382713317871,700
1975-07-25,0.0,8.25,7.5,7.5,4.542165756225586,3600
1975-07-28,0.0,8.25,7.5,7.5,4.542165756225586,1000
1975-07-29,0.0,7.75,7.0,7.0,4.239354610443115,1400
1975-07-30,0.0,7.75,7.0,7.0,4.239354610443115,2300
1975-07-31,0.0,7.75,7.0,7.0,4.239354610443115,1000
1975-08-01,0.0,7.75,7.0,7.0,4.239354610443115,1300
1975-08-04,0.0,7.75,7.0,7.0,4.239354610443115,50
1975-08-05,0.0,7.75,7.0,7.0,4.239354610443115,800
1975-08-06,0.0,7.75,7.0,7.0,4.239354610443115,100
1975-08-08,0.0,7.75,7.0,7.0,4.239354610443115,200
1975-08-11,0.0,7.5,6.75,6.75,4.087948322296143,1100
1975-08-12,0.0,7.25,6.5,6.5,3.936542272567749,800
1975-08-14,0.0,7.0,6.25,6.25,3.7851381301879883,1500
1975-08-15,0.0,7.0,6.25,6.25,3.7851381301879883,300
1975-08-18,0.0,7.0,6.25,6.25,3.7851381301879883,1100
1975-08-19,0.0,6.75,6.0,6.0,3.633732318878174,1200
1975-08-20,0.0,6.75,6.0,6.0,3.633732318878174,400
1975-08-21,0.0,6.75,6.0,6.0,3.633732318878174,50
1975-08-25,0.0,7.0,6.25,6.25,3.7851381301879883,200
1975-08-26,0.0,7.0,6.25,6.25,3.7851381301879883,800
1975-08-27,0.0,7.0,6.25,6.25,3.7851381301879883,1000
1975-08-28,0.0,7.0,6.25,6.25,3.7851381301879883,50
1975-09-08,0.0,6.75,6.0,6.0,3.633732318878174,600
1975-09-09,0.0,6.75,6.0,6.0,3.633732318878174,100
1975-09-11,0.0,6.75,6.0,6.0,3.633732318878174,200
1975-09-12,0.0,6.5,5.75,5.75,3.4823272228240967,1200
1975-09-15,0.0,6.5,5.75,5.75,3.4823272228240967,300
1975-09-17,0.0,6.5,5.75,5.75,3.4823272228240967,100
1975-09-23,0.0,6.5,5.75,5.75,3.4823272228240967,500
1975-09-24,0.0,6.5,5.75,5.75,3.4823272228240967,600
1975-09-26,0.0,6.5,5.75,5.75,3.4823272228240967,200
1975-10-03,0.0,6.25,5.5,5.5,3.3309214115142822,100
1975-10-07,0.0,6.0,5.25,5.25,3.179516553878784,600
1975-10-08,0.0,6.0,5.25,5.25,3.179516553878784,100
1975-10-09,0.0,6.0,5.25,5.25,3.179516553878784,500
1975-10-20,0.0,6.75,6.0,6.0,3.633732318878174,1700
1975-10-22,0.0,6.5,5.75,5.75,3.4823272228240967,400
1975-10-30,0.0,6.0,5.25,5.25,3.179516553878784,1100
1975-10-31,0.0,6.0,5.25,5.25,3.179516553878784,300
1975-11-04,0.0,6.0,5.25,5.25,3.179516553878784,50
1975-11-06,0.0,6.0,5.25,5.25,3.179516553878784,700
1975-11-13,0.0,5.25,4.5,4.5,2.72529935836792,700
1975-11-14,0.0,5.5,4.75,4.75,2.876704216003418,300
1975-11-19,0.0,5.25,4.5,4.5,2.72529935836792,1000
1975-11-20,0.0,4.5,3.75,3.75,2.271082878112793,800
1975-11-21,0.0,4.75,4.0,4.0,2.4224884510040283,600
1975-11-24,0.0,4.75,4.0,4.0,2.4224884510040283,50
1975-11-25,0.0,4.75,4.0,4.0,2.4224884510040283,100
1975-12-03,0.0,4.5,3.75,3.75,2.271082878112793,200
