Date,Open,High,Low,Close,Adj Close,Volume
1994-03-11,20.625,20.875,20.625,20.875,6.024621486663818,2359000
1994-03-14,20.75,20.75,20.625,20.625,5.95247220993042,536500
1994-03-15,20.625,20.75,20.625,20.625,5.95247220993042,215700
1994-03-16,20.625,21.375,20.625,21.375,6.168925762176514,338600
1994-03-17,21.375,21.375,20.875,21.125,6.096774101257324,195900
1994-03-18,21.125,21.125,20.75,21.0,6.060698509216309,285700
1994-03-21,21.0,21.0,20.875,20.875,6.024621486663818,38900
1994-03-22,20.875,20.875,20.75,20.75,5.988544464111328,78400
1994-03-23,20.75,21.5,20.75,21.25,6.132848262786865,209200
1994-03-24,21.125,21.125,21.0,21.0,6.060698509216309,155000
1994-03-25,21.0,21.125,21.0,21.0,6.060698509216309,91500
1994-03-28,21.0,21.125,20.875,21.125,6.096774101257324,111200
1994-03-29,21.125,21.125,20.625,20.625,5.95247220993042,101200
1994-03-30,20.625,20.75,20.375,20.5,5.9163947105407715,105000
1994-03-31,20.5,20.625,20.5,20.625,5.95247220993042,108300
1994-04-04,20.375,20.375,20.0,20.125,5.808170795440674,42300
1994-04-05,20.25,20.875,20.25,20.75,5.988544464111328,55600
1994-04-06,20.75,20.875,20.75,20.875,6.024621486663818,31800
1994-04-07,20.875,21.0,20.75,20.75,5.988544464111328,52000
1994-04-08,20.75,20.75,20.5,20.5,5.9163947105407715,24000
1994-04-11,20.5,20.625,20.375,20.375,5.8803205490112305,44400
1994-04-12,20.375,20.5,20.25,20.5,5.9163947105407715,15100
1994-04-13,20.5,20.5,20.375,20.375,5.8803205490112305,30500
1994-04-14,20.375,20.5,20.375,20.375,5.8803205490112305,38800
1994-04-15,20.375,20.5,20.125,20.125,5.808170795440674,12200
1994-04-18,20.125,20.375,20.125,20.125,5.808170795440674,39800
1994-04-19,20.25,20.375,20.25,20.25,5.844244956970215,24500
1994-04-20,20.25,20.25,20.125,20.25,5.844244956970215,72000
1994-04-21,20.25,20.375,20.25,20.25,5.844244956970215,15000
1994-04-22,20.25,20.5,20.125,20.5,5.9163947105407715,20700
1994-04-25,20.5,20.5,20.25,20.25,5.844244956970215,27300
