Date,Open,High,Low,Close,Adj Close,Volume
1981-12-31,2.2890625,2.328125,2.25,2.328125,1.0471266508102417,167200
1982-01-04,2.296875,2.3125,2.28125,2.28125,1.0260437726974487,69600
1982-01-05,2.265625,2.28125,2.234375,2.25,1.0119876861572266,282400
1982-01-06,2.25,2.25,2.234375,2.234375,1.0049599409103394,746400
1982-01-07,2.25,2.265625,2.21875,2.25,1.0119876861572266,1056800
1982-01-08,2.25,2.25,2.234375,2.234375,1.0049599409103394,403200
1982-01-11,2.234375,2.25,2.21875,2.21875,0.9979323744773865,502400
1982-01-12,2.234375,2.25,2.203125,2.234375,1.0049599409103394,344800
1982-01-13,2.234375,2.25,2.203125,2.21875,0.9979323744773865,237600
1982-01-14,2.21875,2.25,2.1875,2.25,1.0119876861572266,252000
1982-01-15,2.234375,2.25,2.21875,2.21875,0.9979323744773865,523200
1982-01-18,2.234375,2.265625,2.203125,2.25,1.0119876861572266,1033600
1982-01-19,2.203125,2.234375,2.15625,2.15625,0.9834811687469482,94400
1982-01-20,2.15625,2.171875,2.140625,2.171875,0.990608274936676,110400
1982-01-21,2.171875,2.1875,2.140625,2.171875,0.990608274936676,288000
1982-01-22,2.296875,2.421875,2.15625,2.390625,1.090381145477295,1112000
1982-01-25,3.078125,3.125,3.03125,3.03125,1.3825753927230835,6201600
1982-01-26,3.28125,3.421875,3.125,3.359375,1.5322351455688477,10124000
1982-01-27,3.328125,3.40625,3.25,3.40625,1.5536153316497803,7451200
1982-01-28,3.4375,3.5,3.375,3.4375,1.5678690671920776,6950400
1982-01-29,3.359375,3.453125,3.265625,3.375,1.5393626689910889,12292800
1982-02-01,3.375,3.421875,3.3125,3.34375,1.525108814239502,8064800
1982-02-02,3.328125,3.328125,3.3125,3.3125,1.5108548402786255,3766400
1982-02-03,3.375,3.421875,3.3125,3.34375,1.525108814239502,8153600
1982-02-04,3.3125,3.359375,3.265625,3.28125,1.4966024160385132,5224000
1982-02-05,3.1875,3.28125,3.09375,3.234375,1.4752219915390015,2205600
1982-02-08,3.09375,3.15625,3.03125,3.125,1.4253356456756592,1417600
1982-02-09,3.15625,3.28125,3.03125,3.28125,1.4966024160385132,1716800
1982-02-10,3.109375,3.125,3.078125,3.09375,1.4110819101333618,677600
1982-02-11,3.09375,3.09375,3.09375,3.09375,1.4110819101333618,0
1982-02-12,3.296875,3.3125,3.265625,3.28125,1.4966024160385132,3533600
1982-02-16,3.1875,3.21875,3.140625,3.140625,1.4324623346328735,2309600
1982-02-17,3.125,3.15625,3.078125,3.125,1.4253356456756592,1630400
1982-02-18,3.125,3.15625,3.078125,3.09375,1.4110819101333618,947200
1982-02-19,3.078125,3.09375,3.0625,3.0625,1.3968278169631958,783200
1982-02-22,3.046875,3.078125,3.015625,3.015625,1.3754483461380005,1411200
1982-02-23,3.03125,3.0625,3.0,3.0625,1.3968278169631958,1359200
1982-02-24,3.0625,3.078125,3.03125,3.046875,1.3897019624710083,1899200
1982-02-25,3.078125,3.109375,3.03125,3.0625,1.3968278169631958,1720000
1982-02-26,2.734375,2.875,2.59375,2.65625,1.2115353345870972,1608800
1982-03-01,2.734375,2.84375,2.609375,2.84375,1.2970542907714844,2062400
1982-03-02,2.71875,2.796875,2.640625,2.65625,1.2115353345870972,1734400
1982-03-03,2.546875,2.65625,2.421875,2.59375,1.1830278635025024,1052000
1982-03-04,2.5625,2.59375,2.53125,2.578125,1.1759016513824463,495200
1982-03-05,2.453125,2.5625,2.328125,2.375,1.083255410194397,628000
1982-03-08,2.125,2.34375,1.890625,1.921875,0.8765811920166016,1677600
1982-03-09,1.890625,2.0,1.765625,1.984375,0.9050878882408142,1064000
1982-03-10,1.9375,1.96875,1.90625,1.9375,0.8837077021598816,419200
1982-03-11,1.953125,2.0,1.90625,1.984375,0.9050878882408142,381600
1982-03-12,1.921875,1.984375,1.84375,1.90625,0.8694547414779663,462400
1982-03-15,1.84375,1.875,1.8125,1.875,0.8552011847496033,899200
1982-03-16,1.890625,1.90625,1.859375,1.890625,0.8623281717300415,771200
1982-03-17,1.875,1.890625,1.859375,1.875,0.8552011847496033,410400
1982-03-18,1.90625,1.9375,1.875,1.9375,0.8837077021598816,1063200
