Date,Open,High,Low,Close,Adj Close,Volume
1986-07-24,29.625,29.625,29.25,29.25,4.271902084350586,7300
1986-07-25,29.25,29.625,29.25,29.625,4.326669692993164,7500
1986-07-28,29.625,29.625,29.25,29.25,4.271902084350586,1400
1986-07-29,29.25,29.625,29.25,29.25,4.271902084350586,4200
1986-07-30,29.25,29.625,29.25,29.625,4.326669692993164,2100
1986-07-31,29.625,29.625,29.25,29.25,4.271902084350586,4000
1986-08-01,29.25,29.25,29.25,29.25,4.271902084350586,1000
1986-08-04,29.25,29.25,29.25,29.25,4.271902084350586,400
1986-08-05,28.875,28.875,28.5,28.875,4.21713399887085,1100
1986-08-06,28.875,28.875,28.5,28.875,4.21713399887085,2800
1986-08-07,28.875,28.875,28.5,28.5,4.162365913391113,2200
1986-08-08,28.5,29.25,28.5,28.5,4.162365913391113,2100
1986-08-11,28.5,28.875,28.5,28.875,4.21713399887085,100
1986-08-12,28.875,28.875,28.5,28.875,4.21713399887085,1800
1986-08-13,28.875,29.25,28.875,29.25,4.271902084350586,400
1986-08-14,28.875,28.875,28.875,28.875,4.21713399887085,0
1986-08-15,28.875,29.25,28.875,28.875,4.21713399887085,500
1986-08-19,28.875,28.875,28.5,28.875,4.21713399887085,1000
1986-08-20,28.875,28.875,28.5,28.5,4.162365913391113,700
1986-08-21,28.875,28.875,28.875,28.875,4.21713399887085,300
1986-08-22,28.875,28.875,28.5,28.875,4.21713399887085,1200
1986-08-25,29.25,29.25,29.25,29.25,4.271902084350586,2500
1986-08-26,29.25,29.25,28.875,28.875,4.21713399887085,900
1986-08-27,29.25,29.25,29.25,29.25,4.271902084350586,200
1986-08-29,29.25,29.25,29.25,29.25,4.271902084350586,100
1986-09-03,29.25,29.625,29.25,29.25,4.271902084350586,2000
1986-09-04,29.25,30.0,29.25,30.0,4.381438732147217,1000
1986-09-05,30.375,30.375,30.375,30.375,4.436205863952637,0
1986-09-08,30.375,30.75,30.375,30.75,4.490975379943848,900
1986-09-09,30.75,30.75,30.375,30.375,4.436205863952637,400
1986-09-10,30.375,30.75,30.0,30.0,4.381438732147217,2300
1986-09-11,30.0,30.0,30.0,30.0,4.381438732147217,300
1986-09-12,30.0,30.375,29.25,29.625,4.326669692993164,700
1986-09-15,29.625,30.0,29.625,30.0,4.381438732147217,500
1986-09-16,30.0,30.0,29.625,30.0,4.381438732147217,500
1986-09-17,30.0,30.0,29.625,29.625,4.326669692993164,500
1986-09-18,29.625,29.625,29.25,29.625,4.326669692993164,200
1986-09-19,29.625,29.625,29.625,29.625,4.326669692993164,0
1986-09-22,29.625,29.625,29.625,29.625,4.326669692993164,100
1986-09-25,29.25,29.625,29.25,29.625,4.326669692993164,100
1986-09-30,29.625,30.375,29.625,30.0,4.381438732147217,1200
1986-10-01,30.0,30.0,30.0,30.0,4.381438732147217,200
1986-10-02,29.625,29.625,29.25,29.625,4.326669692993164,500
1986-10-03,30.0,30.0,30.0,30.0,4.381438732147217,500
1986-10-06,29.625,29.625,29.625,29.625,4.352031707763672,100
1986-10-07,29.25,29.25,28.875,29.25,4.29694128036499,1000
1986-10-08,29.25,29.25,28.875,29.25,4.29694128036499,1700
1986-10-09,29.25,29.25,28.875,29.25,4.29694128036499,400
1986-10-10,29.25,29.25,29.25,29.25,4.29694128036499,0
1986-10-14,29.25,29.25,29.25,29.25,4.29694128036499,400
1986-10-16,29.25,29.25,28.5,28.5,4.186761379241943,5500
1986-10-17,28.5,28.875,28.125,28.5,4.186761379241943,800
1986-10-20,28.875,28.875,28.875,28.875,4.241852283477783,200
1986-10-21,28.875,28.875,28.5,28.5,4.186761379241943,200
1986-10-22,28.5,28.5,28.5,28.5,4.186761379241943,0
1986-10-23,28.5,28.875,28.5,28.875,4.241852283477783,400
1986-10-24,28.875,28.875,28.875,28.875,4.241852283477783,500
1986-10-27,28.875,28.875,28.5,28.5,4.186761379241943,500
1986-10-28,28.875,28.875,28.875,28.875,4.241852283477783,0
1986-10-29,28.875,28.875,28.5,28.875,4.241852283477783,500
1986-10-30,28.875,28.875,28.875,28.875,4.241852283477783,100
1986-10-31,28.875,29.25,28.875,29.25,4.29694128036499,900
1986-11-05,29.25,29.25,29.25,29.25,4.29694128036499,200
1986-11-06,29.25,29.625,29.25,29.625,4.352031707763672,400
1986-11-07,29.625,29.625,29.625,29.625,4.352031707763672,0
1986-11-11,29.625,29.625,29.625,29.625,4.352031707763672,400
1986-11-12,29.625,29.625,29.625,29.625,4.352031707763672,500
1986-11-14,29.25,29.25,29.25,29.25,4.29694128036499,500
1986-11-17,29.25,29.25,28.5,29.25,4.29694128036499,1000
1986-11-18,29.25,29.25,28.875,28.875,4.241852283477783,7400
1986-11-19,28.875,28.875,28.5,28.875,4.241852283477783,200
1986-11-20,29.25,29.25,29.25,29.25,4.29694128036499,800
1986-11-21,29.625,29.625,29.625,29.625,4.352031707763672,100
1986-11-24,29.625,30.75,29.625,30.75,4.517298698425293,2000
1986-11-25,30.75,30.75,30.0,30.75,4.517298698425293,1700
1986-11-26,30.75,30.75,30.375,30.75,4.517298698425293,1100
1986-11-28,30.75,30.75,30.75,30.75,4.517298698425293,300
1986-12-01,30.75,31.125,30.75,30.75,4.517298698425293,1100
1986-12-02,30.75,30.75,30.375,30.75,4.517298698425293,1000
1986-12-03,30.75,30.75,30.0,30.75,4.517298698425293,1600
1986-12-04,30.375,30.375,30.0,30.0,4.407120704650879,1300
1986-12-05,30.75,30.75,30.75,30.75,4.517298698425293,1700
1986-12-08,30.375,30.375,30.375,30.375,4.4622087478637695,0
1986-12-09,30.375,30.75,30.0,30.75,4.517298698425293,1900
1986-12-10,30.75,30.75,30.0,30.0,4.407120704650879,1500
1986-12-11,30.0,30.375,30.0,30.375,4.4622087478637695,2400
1986-12-12,30.375,30.75,30.0,30.75,4.517298698425293,2000
1986-12-15,30.0,30.0,30.0,30.0,4.407120704650879,500
1986-12-16,30.0,30.375,29.625,29.625,4.352031707763672,2900
1986-12-17,30.0,30.375,30.0,30.375,4.4622087478637695,300
1986-12-18,30.375,30.375,29.625,29.625,4.352031707763672,3200
1986-12-19,30.0,30.375,30.0,30.375,4.4622087478637695,800
1986-12-22,30.375,30.375,30.0,30.0,4.407120704650879,100
1986-12-23,30.0,30.375,30.0,30.375,4.4622087478637695,200
1986-12-24,30.375,30.75,30.375,30.75,4.517298698425293,1600
1986-12-26,30.75,30.75,30.375,30.375,4.4622087478637695,1400
1986-12-29,30.375,30.75,30.0,30.75,4.517298698425293,3300
1986-12-30,30.375,30.375,30.375,30.375,4.4622087478637695,100
1986-12-31,30.375,30.375,30.0,30.375,4.4622087478637695,2400
1987-01-02,30.75,31.125,30.75,31.125,4.572383403778076,300
1987-01-05,31.5,33.0,31.5,32.25,4.737652778625488,1700
