Date,Open,High,Low,Close,Adj Close,Volume
1989-05-23,0.0,26.25,26.0,26.125,0.7199510931968689,206600
1989-05-24,26.125,26.25,26.0,26.125,0.7199510931968689,73400
1989-05-25,26.125,26.125,26.0,26.125,0.7199510931968689,21800
1989-05-26,26.125,26.125,26.0,26.0,0.7165063619613647,105600
1989-05-30,26.0,26.25,26.0,26.125,0.7199510931968689,57100
1989-05-31,26.125,26.125,26.0,26.0,0.7165063619613647,44200
1989-06-01,26.0,26.125,26.0,26.125,0.7199510931968689,107900
1989-06-02,26.125,26.125,26.0,26.0,0.7165063619613647,45600
1989-06-05,26.0,26.125,26.0,26.125,0.7199510931968689,43400
1989-06-06,26.125,26.125,26.0,26.0,0.7165063619613647,16500
1989-06-07,26.0,26.125,26.0,26.125,0.7199510931968689,28500
1989-06-08,26.125,26.125,25.75,26.0,0.7165063619613647,98400
1989-06-09,26.0,26.125,25.875,26.0,0.7165063619613647,36100
1989-06-12,26.0,26.0,25.875,25.875,0.7130615711212158,2600
1989-06-13,25.875,25.875,25.75,25.75,0.7096168994903564,12100
1989-06-14,25.875,25.875,25.875,25.875,0.7130615711212158,6600
1989-06-15,25.875,26.0,25.75,26.0,0.7165063619613647,15000
1989-06-16,26.0,26.0,25.875,26.0,0.7165063619613647,22400
1989-06-19,26.0,26.125,26.0,26.125,0.7199510931968689,62400
1989-06-20,26.125,26.125,26.0,26.125,0.7199510931968689,39000
1989-06-21,26.125,26.125,26.0,26.125,0.7199510931968689,30500
1989-06-22,26.125,26.125,26.0,26.125,0.7199510931968689,27700
1989-06-23,26.125,26.125,25.875,26.125,0.7199510931968689,74800
1989-06-26,26.0,26.0,25.875,26.0,0.7165063619613647,25500
1989-06-27,26.0,26.75,26.0,26.75,0.7371749877929688,86300
1989-06-28,26.75,27.375,26.625,27.125,0.7475090026855469,95100
1989-06-29,27.25,27.375,26.875,27.0,0.744064450263977,58800
1989-06-30,27.0,27.125,26.5,27.0,0.744064450263977,59600
1989-07-03,27.125,27.5,27.125,27.375,0.7543988227844238,39700
1989-07-05,27.5,27.5,27.375,27.5,0.7578433156013489,92000
1989-07-06,27.5,27.5,27.375,27.5,0.7578433156013489,22700
1989-07-07,27.375,27.5,27.375,27.5,0.7578433156013489,48100
1989-07-10,27.5,27.5,27.375,27.5,0.7578433156013489,14800
1989-07-11,27.375,27.5,27.25,27.5,0.7653578519821167,24500
1989-07-12,27.5,27.75,27.375,27.5,0.7653578519821167,15200
1989-07-13,27.75,27.75,27.375,27.5,0.7653578519821167,14800
1989-07-14,27.625,27.75,27.625,27.625,0.7688372731208801,5800
1989-07-17,27.875,27.875,27.5,27.75,0.7723156213760376,13800
1989-07-18,27.75,27.75,27.5,27.5,0.7653578519821167,32300
1989-07-19,27.625,27.75,27.5,27.5,0.7653578519821167,17800
1989-07-20,27.5,28.0,27.5,27.625,0.7688372731208801,24600
1989-07-21,27.5,27.75,27.375,27.5,0.7653578519821167,13200
1989-07-24,27.25,27.375,27.125,27.375,0.7618792057037354,14700
1989-07-25,27.375,27.5,27.375,27.5,0.7653578519821167,24400
1989-07-26,27.375,27.625,27.375,27.625,0.7688372731208801,76500
1989-07-27,27.75,27.75,27.625,27.625,0.7688372731208801,22400
1989-07-28,27.625,27.75,27.5,27.5,0.7653578519821167,46100
1989-07-31,27.5,27.5,27.25,27.25,0.7584003210067749,8500
1989-08-01,27.25,27.625,27.25,27.25,0.7584003210067749,24300
1989-08-02,27.25,27.5,27.25,27.5,0.7653578519821167,9400
1989-08-03,27.625,28.0,27.5,27.875,0.7757946252822876,31200
1989-08-04,27.75,28.5,27.75,28.25,0.7862312197685242,24600
1989-08-07,28.25,28.25,28.125,28.125,0.7827522158622742,3100
1989-08-08,28.25,28.25,28.0,28.125,0.7827522158622742,13500
1989-08-09,28.0,28.0,28.0,28.0,0.7792735695838928,4100
1989-08-10,27.75,27.875,27.375,27.375,0.7618792057037354,37700
1989-08-11,27.5,27.75,27.0,27.0,0.7514427304267883,22000
1989-08-14,27.0,27.5,27.0,27.25,0.7584003210067749,4100
1989-08-15,27.375,27.375,27.25,27.25,0.7584003210067749,12500
1989-08-16,27.375,27.625,27.375,27.625,0.7688372731208801,40300
1989-08-17,27.75,28.0,27.75,28.0,0.7792735695838928,17500
1989-08-18,28.0,28.0,27.75,28.0,0.7792735695838928,6800
1989-08-21,28.0,28.0,27.75,27.75,0.7723156213760376,2400
1989-08-22,27.875,27.875,27.625,27.75,0.7723156213760376,5300
1989-08-23,27.625,27.875,27.5,27.75,0.7723156213760376,31200
1989-08-24,27.875,28.0,27.75,27.75,0.7723156213760376,14200
1989-08-25,28.0,28.0,27.375,27.625,0.7688372731208801,12000
1989-08-28,27.75,27.75,27.5,27.5,0.7653578519821167,3500
1989-08-29,27.625,27.625,27.5,27.5,0.7653578519821167,5100
1989-08-30,27.5,27.5,27.5,27.5,0.7653578519821167,16300
1989-08-31,27.5,27.625,27.5,27.625,0.7688372731208801,10200
1989-09-01,27.625,27.625,27.5,27.625,0.7688372731208801,3800
1989-09-05,27.5,28.0,27.5,28.0,0.7792735695838928,26200
1989-09-06,28.0,28.25,28.0,28.25,0.7862312197685242,39300
1989-09-07,28.25,28.375,28.125,28.25,0.7862312197685242,21900
1989-09-08,28.125,28.625,28.125,28.625,0.7966681122779846,16500
1989-09-11,28.5,28.625,28.5,28.625,0.7966681122779846,10800
1989-09-12,28.75,28.75,28.625,28.625,0.7966681122779846,3400
1989-09-13,28.5,29.0,28.5,29.0,0.8071050643920898,14300
1989-09-14,29.0,29.0,28.625,28.625,0.7966681122779846,7100
1989-09-15,28.75,28.75,28.25,28.25,0.7862312197685242,14900
1989-09-18,28.25,28.375,28.0,28.0,0.7792735695838928,9700
1989-09-19,27.75,27.875,27.5,27.625,0.7688372731208801,14200
1989-09-20,27.625,27.625,27.125,27.25,0.7584003210067749,8900
1989-09-21,27.25,27.5,27.25,27.5,0.7653578519821167,2400
1989-09-22,27.5,27.75,27.375,27.625,0.7688372731208801,4500
1989-09-25,27.5,27.625,27.375,27.375,0.7618792057037354,3900
1989-09-26,27.125,27.375,26.75,27.25,0.7584003210067749,35600
1989-09-27,27.25,27.25,27.125,27.25,0.7584003210067749,1900
1989-09-28,27.25,27.25,27.125,27.125,0.7549209594726562,25100
1989-09-29,27.125,27.5,27.125,27.375,0.7618792057037354,11500
1989-10-02,27.5,27.5,27.5,27.5,0.7653578519821167,800
1989-10-03,27.75,27.75,27.375,27.5,0.7653578519821167,4900
1989-10-04,27.25,27.25,26.125,27.0,0.7514427304267883,27700
1989-10-05,27.0,27.375,27.0,27.125,0.7549209594726562,5800
1989-10-06,27.25,27.375,27.25,27.375,0.7618792057037354,1800
1989-10-09,27.125,27.75,27.125,27.5,0.7653578519821167,5700
1989-10-10,26.875,27.5,26.875,27.5,0.7877292037010193,8000
1989-10-11,27.25,27.25,27.0,27.25,0.7805682420730591,18400
1989-10-12,27.0,27.375,27.0,27.375,0.7841489315032959,10800
1989-10-13,27.625,27.875,27.25,27.25,0.7805682420730591,16600
1989-10-16,26.875,27.0,26.75,27.0,0.7734077572822571,19300
1989-10-17,27.125,27.25,27.0,27.0,0.7734077572822571,56800
1989-10-18,27.0,27.25,27.0,27.25,0.7805682420730591,2900
1989-10-19,27.125,27.375,27.0,27.125,0.7769872546195984,9000
