Date,Open,High,Low,Close,Adj Close,Volume
1973-05-03,22.875,24.0,22.5,22.5,3.5155811309814453,400.0
1973-05-04,22.5,23.625,22.125,22.125,3.4569878578186035,300.0
1973-05-07,22.125,23.25,21.75,21.75,3.398395538330078,300.0
1973-05-08,21.75,23.25,21.75,21.75,3.398395538330078,600.0
1973-05-09,21.75,23.25,21.75,21.75,3.398395538330078,0.0
1973-05-10,21.75,23.25,21.75,21.75,3.398395538330078,100.0
1973-05-15,21.75,23.25,21.75,21.75,3.398395538330078,300.0
1973-05-18,21.75,23.25,21.75,21.75,3.398395538330078,400.0
1973-05-21,21.75,23.25,21.0,21.0,3.2812092304229736,200.0
1973-05-22,21.0,24.0,21.0,21.0,3.2812092304229736,300.0
1973-05-23,21.0,21.0,19.5,19.875,3.1054301261901855,1000.0
1973-05-24,19.875,19.875,19.5,19.875,3.1054301261901855,200.0
1973-05-25,19.875,20.25,19.875,19.875,3.1054301261901855,600.0
1973-05-29,19.875,21.0,19.875,21.0,3.2812092304229736,500.0
1973-05-30,21.0,21.0,20.625,21.0,3.2812092304229736,100.0
1973-05-31,21.0,21.0,21.0,21.0,3.2812092304229736,200.0
1973-06-04,20.625,20.625,18.75,18.75,2.9296517372131348,900.0
1973-06-05,18.375,18.375,18.0,18.375,2.871058225631714,600.0
1973-06-06,19.125,19.125,19.125,19.125,2.9882442951202393,200.0
1973-06-07,19.125,19.875,18.75,18.75,2.9296517372131348,300.0
1973-06-08,18.75,19.5,18.375,19.5,3.0468380451202393,600.0
1973-06-11,20.25,20.25,20.25,20.25,3.1640233993530273,200.0
1973-06-12,20.25,20.625,20.25,20.25,3.1640233993530273,100.0
1973-06-13,20.625,21.75,20.625,21.375,3.3398020267486572,400.0
1973-06-14,21.75,22.125,21.75,22.125,3.4569878578186035,100.0
1973-06-15,22.125,22.5,22.125,22.5,3.5155811309814453,200.0
1973-06-18,22.125,22.125,21.375,21.375,3.3398020267486572,200.0
1973-06-19,21.375,21.375,21.375,21.375,3.3398020267486572,0.0
1973-06-20,21.375,21.75,21.375,21.375,3.3398020267486572,100.0
