Date,Open,High,Low,Close,Adj Close,Volume
1990-02-28,19.0,19.25,18.125,19.25,4.90958833694458,8639800
1990-03-01,18.5,18.625,18.125,18.125,4.622664451599121,475100
1990-03-02,18.125,18.375,18.0,18.25,4.654544830322266,558500
1990-03-05,18.0,18.5,18.0,18.5,4.718304634094238,553000
1990-03-06,18.25,18.25,18.0,18.25,4.654544830322266,147200
1990-03-07,18.125,18.25,18.125,18.25,4.654544830322266,51500
1990-03-08,18.125,18.25,18.0,18.125,4.622664451599121,48000
1990-03-09,18.125,18.125,18.0,18.125,4.622664451599121,115800
1990-03-12,18.0,18.0,17.5,17.5,4.463261127471924,266300
1990-03-13,17.5,17.625,17.5,17.625,4.495142459869385,111900
1990-03-14,17.5,17.5,17.25,17.25,4.399501323699951,183700
1990-03-15,17.25,17.375,17.25,17.25,4.399501323699951,40800
1990-03-16,17.375,17.375,17.25,17.375,4.4313812255859375,51400
1990-03-19,17.5,17.5,17.0,17.125,4.36761999130249,83800
1990-03-20,17.125,17.375,17.0,17.0,4.335740089416504,11900
1990-03-21,16.875,17.375,16.875,17.25,4.399501323699951,13600
1990-03-22,17.0,17.0,16.125,16.625,4.240098476409912,38100
1990-03-23,16.5,16.75,16.375,16.375,4.176339149475098,22000
1990-03-26,16.375,16.375,15.625,15.625,3.9850552082061768,41500
1990-03-27,15.625,15.625,14.75,14.875,3.7937722206115723,121900
1990-03-28,14.875,15.5,14.875,15.5,3.9531748294830322,118300
1990-03-29,15.5,15.5,15.0,15.25,3.889413833618164,58300
1990-03-30,15.25,16.125,15.25,15.875,4.048817157745361,192600
1990-04-02,15.0,15.25,15.0,15.125,3.8575336933135986,129200
1990-04-03,15.375,15.5,15.375,15.5,3.9531748294830322,123800
1990-04-04,15.5,15.75,15.5,15.625,3.9850552082061768,205300
1990-04-05,15.375,15.375,15.25,15.25,3.889413833618164,144300
1990-04-06,15.125,15.125,14.75,15.0,3.825652837753296,197500
1990-04-09,14.875,15.25,14.875,14.875,3.7937722206115723,119300
1990-04-10,14.75,14.875,14.625,14.625,3.7300126552581787,45400
1990-04-11,14.5,14.625,14.375,14.375,3.6662518978118896,123700
