Date,Open,High,Low,Close,Adj Close,Volume
1989-05-19,0.0,12.0,12.0,12.0,1.67896568775177,172100
1989-05-22,0.0,12.125,12.125,12.125,1.6964550018310547,4300
1989-05-23,0.0,12.125,12.0,12.125,1.6964550018310547,4400
1989-05-24,0.0,12.125,12.0,12.0,1.67896568775177,2800
1989-05-25,0.0,12.125,12.0,12.0,1.67896568775177,5200
1989-05-26,0.0,12.125,12.0,12.125,1.6964550018310547,17400
1989-05-30,0.0,12.125,12.0,12.0,1.67896568775177,6600
1989-05-31,0.0,12.125,12.0,12.125,1.6964550018310547,7200
1989-06-01,0.0,12.125,12.0,12.0,1.67896568775177,1300
1989-06-02,0.0,12.125,12.0,12.125,1.6964550018310547,16300
1989-06-05,0.0,12.125,12.0,12.125,1.6964550018310547,8200
1989-06-06,0.0,12.125,12.0,12.0,1.67896568775177,4100
1989-06-07,0.0,12.125,12.0,12.0,1.67896568775177,17300
1989-06-08,0.0,12.0,12.0,12.0,1.67896568775177,13500
1989-06-09,0.0,12.125,12.0,12.0,1.67896568775177,23100
1989-06-12,0.0,12.125,12.0,12.0,1.67896568775177,6200
1989-06-13,0.0,12.0,12.0,12.0,1.67896568775177,22700
1989-06-14,0.0,12.0,12.0,12.0,1.67896568775177,6500
1989-06-15,0.0,12.0,11.875,11.875,1.6614751815795898,17300
1989-06-16,0.0,12.0,11.875,11.875,1.6614751815795898,2700
1989-06-19,0.0,11.75,11.625,11.625,1.6264970302581787,55900
1989-06-20,0.0,11.625,11.5,11.5,1.609007716178894,18000
1989-06-21,0.0,11.75,11.5,11.5,1.609007716178894,17600
1989-06-22,0.0,11.625,11.5,11.5,1.609007716178894,10200
1989-06-23,0.0,11.625,11.5,11.5,1.609007716178894,22000
1989-06-26,0.0,11.625,11.5,11.625,1.6264970302581787,8000
1989-06-27,0.0,11.75,11.625,11.75,1.6439855098724365,7300
1989-06-28,0.0,11.875,11.625,11.75,1.6439855098724365,29200
1989-06-29,0.0,11.875,11.75,11.75,1.6439855098724365,7800
1989-06-30,11.75,11.875,11.75,11.875,1.6614751815795898,3200
1989-07-03,11.75,11.75,11.75,11.75,1.6439855098724365,100
1989-07-05,11.75,11.875,11.75,11.75,1.6439855098724365,15200
