Date,Open,High,Low,Close,Adj Close,Volume
1998-07-29,10.0,10.0625,10.0,10.0,0.6557868123054504,172300
1998-07-30,10.0625,10.0625,10.0,10.0625,0.6598854660987854,71700
1998-07-31,10.0,10.125,10.0,10.0,0.6557868123054504,59400
1998-08-03,10.0625,10.0625,10.0,10.0,0.6557868123054504,82400
1998-08-04,10.0,10.0625,10.0,10.0,0.6557868123054504,62000
1998-08-05,10.0,10.0625,10.0,10.0,0.6557868123054504,76900
1998-08-06,10.0625,10.0625,10.0,10.0625,0.6598854660987854,63000
1998-08-07,10.0,10.0625,10.0,10.0,0.6557868123054504,28800
1998-08-10,10.0,10.125,10.0,10.125,0.6639843583106995,84100
1998-08-11,10.0625,10.125,10.0,10.0625,0.6598854660987854,73900
1998-08-12,10.125,10.125,10.0,10.0,0.6557868123054504,36400
1998-08-13,10.0,10.0625,10.0,10.0,0.6557868123054504,57300
1998-08-14,10.0,10.0625,10.0,10.0,0.6557868123054504,31400
1998-08-17,10.0625,10.0625,9.3125,9.4375,0.6188985705375671,3058000
1998-08-18,9.5,9.75,9.4375,9.75,0.6393914222717285,234400
1998-08-19,9.6875,10.0,9.625,9.9375,0.6516883373260498,289300
1998-08-20,9.875,9.9375,9.6875,9.6875,0.6352933049201965,199000
1998-08-21,9.6875,9.6875,9.1875,9.375,0.614800214767456,122700
1998-08-24,9.25,9.5,9.25,9.3125,0.6107010245323181,95700
1998-08-25,9.375,9.5,9.3125,9.3125,0.6107010245323181,62700
1998-08-26,9.25,9.4375,9.0,9.125,0.5984051823616028,107600
1998-08-27,9.125,9.1875,9.0,9.125,0.5984051823616028,221000
1998-08-28,9.125,9.125,9.0,9.0625,0.5943062901496887,66000
1998-08-31,9.0625,9.0625,9.0,9.0,0.5902081727981567,237200
1998-09-01,9.0,9.0625,9.0,9.0625,0.5943062901496887,168300
1998-09-02,9.0625,9.0625,9.0,9.0,0.5902081727981567,615400
1998-09-03,9.0625,9.0625,9.0,9.0,0.5902081727981567,349400
1998-09-04,9.0625,9.0625,9.0,9.0625,0.5943062901496887,113500
1998-09-08,9.0625,9.3125,9.0625,9.3125,0.6107010245323181,127800
1998-09-09,9.375,9.375,9.125,9.125,0.5984051823616028,51600
1998-09-10,9.0625,9.125,9.0,9.125,0.5984051823616028,74900
1998-09-11,9.0625,9.1875,8.75,9.0,0.5902081727981567,222800
1998-09-14,9.0,9.1875,8.9375,9.0,0.5902081727981567,79500
1998-09-15,9.0,9.3125,9.0,9.125,0.5984051823616028,83900
1998-09-16,9.0,9.125,8.9375,9.125,0.6087457537651062,136000
1998-09-17,8.9375,9.0625,8.875,9.0,0.6004072427749634,61700
1998-09-18,8.9375,9.0,8.875,9.0,0.6004072427749634,61600
1998-09-21,8.875,9.0,8.875,8.875,0.5920677781105042,72600
1998-09-22,8.9375,8.9375,8.75,8.75,0.5837290287017822,158300
1998-09-23,8.8125,8.9375,8.75,8.9375,0.5962374806404114,50800
1998-09-24,9.0,9.1875,9.0,9.125,0.6087457537651062,74300
1998-09-25,9.1875,9.1875,9.0,9.125,0.6087457537651062,72200
1998-09-28,9.125,9.125,8.875,8.9375,0.5962374806404114,57500
1998-09-29,8.9375,9.0,8.8125,8.875,0.5920677781105042,39400
1998-09-30,8.9375,9.0625,8.9375,9.0625,0.6045759320259094,41800
1998-10-01,8.9375,8.9375,8.8125,8.8125,0.5878984332084656,83100
1998-10-02,8.8125,8.875,8.8125,8.875,0.5920677781105042,40600
1998-10-05,8.875,8.875,8.75,8.8125,0.5878984332084656,54900
1998-10-06,8.8125,8.875,8.75,8.8125,0.5878984332084656,63900
1998-10-07,8.75,8.875,8.75,8.75,0.5837290287017822,107000
1998-10-08,8.75,8.8125,8.625,8.6875,0.5795595049858093,79900
1998-10-09,8.5625,8.625,8.5,8.5,0.5670500993728638,56500
1998-10-12,8.5,8.75,8.5,8.625,0.5753896236419678,29100
1998-10-13,8.5625,8.75,8.5625,8.6875,0.5795595049858093,63200
1998-10-14,8.625,8.6875,8.5625,8.6875,0.584945797920227,56200
1998-10-15,8.625,8.75,8.5,8.75,0.5891544222831726,60400
1998-10-16,8.75,8.875,8.75,8.875,0.5975705981254578,31800
1998-10-19,8.9375,8.9375,8.75,8.75,0.5891544222831726,84000
1998-10-20,8.8125,8.875,8.75,8.75,0.5891544222831726,66400
1998-10-21,9.0,9.0,8.75,8.8125,0.5933622717857361,225500
1998-10-22,8.875,9.125,8.75,9.0,0.6059873104095459,177500
1998-10-23,9.0,9.1875,9.0,9.0625,0.6101950407028198,89000
1998-10-26,9.0,9.4375,9.0,9.375,0.6312364935874939,148600
1998-10-27,9.3125,9.375,9.1875,9.375,0.6312364935874939,87100
1998-10-28,9.3125,9.5,9.25,9.5,0.639653205871582,96400
1998-10-29,9.5,9.5,9.375,9.4375,0.6354450583457947,68800
1998-10-30,9.5,9.5625,9.375,9.5625,0.6438615322113037,56800
1998-11-02,9.5,9.5625,9.1875,9.3125,0.6270279884338379,123200
1998-11-03,9.1875,9.3125,9.1875,9.25,0.6228206157684326,27300
1998-11-04,9.3125,9.4375,9.1875,9.3125,0.6270279884338379,62600
1998-11-05,9.375,9.4375,9.25,9.3125,0.6270279884338379,99600
1998-11-06,9.5,9.5625,9.4375,9.4375,0.6354450583457947,585300
1998-11-09,9.5,9.625,9.375,9.5,0.639653205871582,188700
1998-11-10,9.5,9.6875,9.375,9.625,0.6480696797370911,190800
1998-11-11,9.625,9.8125,9.625,9.8125,0.6606944799423218,285400
1998-11-12,9.75,9.8125,9.5625,9.625,0.6643180251121521,103000
1998-11-13,9.625,9.75,9.5,9.5625,0.6600045561790466,76800
1998-11-16,9.625,9.75,9.5,9.5,0.6556904911994934,141000
1998-11-17,9.5625,9.75,9.4375,9.625,0.6643180251121521,125600
1998-11-18,9.75,9.75,9.4375,9.5,0.6556904911994934,54600
1998-11-19,9.5625,9.625,9.5,9.5625,0.6600045561790466,119600
1998-11-20,9.625,9.625,9.4375,9.4375,0.6513762474060059,53900
1998-11-23,9.4375,9.625,9.4375,9.5,0.6556904911994934,47300
1998-11-24,9.625,9.75,9.5625,9.625,0.6643180251121521,86500
1998-11-25,9.625,9.6875,9.5,9.625,0.6643180251121521,73400
1998-11-27,9.6875,9.6875,9.625,9.625,0.6643180251121521,16300
1998-11-30,9.625,9.625,9.5,9.5625,0.6600045561790466,37800
1998-12-01,9.5625,9.625,9.5,9.625,0.6643180251121521,68100
1998-12-02,9.75,9.75,9.5625,9.625,0.6643180251121521,53200
1998-12-03,9.5625,9.625,9.4375,9.5,0.6556904911994934,59000
1998-12-04,9.4375,9.625,9.375,9.625,0.6643180251121521,51300
1998-12-07,9.5,9.625,9.375,9.5,0.6556904911994934,105000
1998-12-08,9.5,9.5,9.25,9.375,0.6470627188682556,61700
1998-12-09,9.375,9.4375,9.25,9.3125,0.6427485346794128,52600
1998-12-10,9.375,9.375,9.125,9.25,0.6384353041648865,80900
1998-12-11,9.25,9.25,8.9375,9.0,0.6377264857292175,62700
1998-12-14,8.9375,9.125,8.9375,8.9375,0.633297860622406,59500
1998-12-15,9.0,9.125,8.875,9.0,0.6377264857292175,93200
1998-12-16,9.0,9.0625,8.875,9.0,0.6377264857292175,99800
1998-12-17,8.9375,9.0625,8.875,9.0,0.6377264857292175,139400
1998-12-18,9.0,9.0625,8.9375,8.9375,0.633297860622406,140900
1998-12-21,9.0,9.0625,8.875,8.875,0.6288692951202393,106700
1998-12-22,8.9375,8.9375,8.625,8.75,0.6200119853019714,130200
1998-12-23,8.75,8.75,8.5625,8.75,0.6200119853019714,166400
1998-12-24,8.75,9.0,8.6875,8.9375,0.633297860622406,72300
1998-12-28,8.875,9.0,8.875,8.9375,0.633297860622406,96500
1998-12-29,8.9375,9.0,8.8125,8.9375,0.633297860622406,104600
1998-12-30,8.875,8.9375,8.625,8.75,0.6200119853019714,265300
1998-12-31,8.8125,8.875,8.75,8.8125,0.6244403123855591,158300
1999-01-04,8.875,9.0,8.875,8.9375,0.633297860622406,59200
1999-01-05,8.875,9.1875,8.875,9.1875,0.6510127186775208,102500
1999-01-06,9.1875,9.25,9.125,9.1875,0.6510127186775208,76100
1999-01-07,9.25,9.25,9.125,9.25,0.6554416418075562,90500
1999-01-08,9.25,9.4375,9.1875,9.4375,0.668726921081543,70600
1999-01-11,9.375,9.4375,9.3125,9.375,0.6642984747886658,58200
1999-01-12,9.375,9.4375,9.375,9.4375,0.668726921081543,55400
1999-01-13,9.375,9.5,9.3125,9.5,0.6731561422348022,114800
1999-01-14,9.4375,9.5,9.3125,9.3125,0.6769724488258362,58900
1999-01-15,9.375,9.375,9.25,9.375,0.6815155744552612,52500
1999-01-19,9.375,9.5625,9.375,9.5625,0.6951464414596558,105100
1999-01-20,9.5,9.625,9.4375,9.5625,0.6951464414596558,65800
1999-01-21,9.625,9.6875,9.5,9.5625,0.6951464414596558,99400
1999-01-22,9.625,9.8125,9.5,9.5625,0.6951464414596558,193500
1999-01-25,9.625,9.625,9.5,9.5,0.690602719783783,184100
1999-01-26,9.5,9.5625,9.375,9.375,0.6815155744552612,98100
1999-01-27,9.4375,9.4375,9.375,9.375,0.6815155744552612,88900
1999-01-28,9.375,9.4375,9.25,9.25,0.6724294424057007,117700
1999-01-29,9.25,9.5625,9.0,9.5625,0.6951464414596558,104500
1999-02-01,9.5625,9.5625,9.5,9.5,0.690602719783783,132400
1999-02-02,9.5625,9.5625,9.4375,9.5625,0.6951464414596558,226900
1999-02-03,9.5625,9.5625,9.375,9.4375,0.6860594153404236,51500
1999-02-04,9.5,9.5,9.375,9.375,0.6815155744552612,56500
1999-02-05,9.4375,9.4375,9.125,9.3125,0.6769724488258362,60700
1999-02-08,9.3125,9.5,9.3125,9.4375,0.6860594153404236,70700
1999-02-09,9.375,9.375,9.25,9.25,0.6724294424057007,20000
1999-02-10,9.375,9.375,9.3125,9.375,0.6815155744552612,28800
1999-02-11,9.3125,9.375,9.25,9.375,0.699420690536499,33800
1999-02-12,9.3125,9.4375,9.1875,9.375,0.699420690536499,92100
1999-02-16,9.375,9.375,9.3125,9.3125,0.6947582364082336,55800
1999-02-17,9.375,9.375,9.25,9.3125,0.6947582364082336,32200
1999-02-18,9.3125,9.375,9.25,9.375,0.699420690536499,97100
1999-02-19,9.375,9.375,9.3125,9.3125,0.6947582364082336,45100
1999-02-22,9.375,9.5,9.3125,9.5,0.708746612071991,130200
1999-02-23,9.5,9.5625,9.4375,9.5625,0.7134096622467041,101700
1999-02-24,9.4375,9.5625,9.4375,9.4375,0.7040839195251465,92000
1999-02-25,9.4375,9.4375,9.375,9.375,0.699420690536499,53500
1999-02-26,9.375,9.4375,9.3125,9.3125,0.6947582364082336,58000
1999-03-01,9.375,9.4375,9.3125,9.3125,0.6947582364082336,40100
1999-03-02,9.375,9.375,9.3125,9.3125,0.6947582364082336,48500
1999-03-03,9.375,9.375,9.25,9.375,0.699420690536499,45400
1999-03-04,9.375,9.4375,9.3125,9.375,0.699420690536499,65700
1999-03-05,9.4375,9.5,9.375,9.375,0.699420690536499,58200
1999-03-08,9.375,9.4375,9.3125,9.375,0.699420690536499,48500
1999-03-09,9.3125,9.4375,9.3125,9.375,0.699420690536499,154900
1999-03-10,9.4375,9.625,9.375,9.5625,0.7134096622467041,130800
1999-03-11,9.5,9.625,9.4375,9.5,0.726992666721344,86700
1999-03-12,9.5,9.5,9.375,9.375,0.7174270749092102,107900
1999-03-15,9.375,9.375,9.1875,9.25,0.707861602306366,97100
1999-03-16,9.25,9.25,9.0625,9.0625,0.6935127973556519,91900
1999-03-17,9.125,9.25,9.0,9.125,0.6982959508895874,152800
1999-03-18,9.125,9.125,9.0,9.0,0.6887298822402954,65100
1999-03-19,9.0625,9.0625,9.0,9.0625,0.6935127973556519,54900
1999-03-22,9.0,9.0625,8.9375,9.0625,0.6935127973556519,56100
1999-03-23,9.0625,9.0625,8.9375,8.9375,0.6839473247528076,26600
1999-03-24,8.9375,9.0,8.9375,9.0,0.6887298822402954,78100
1999-03-25,8.9375,9.0,8.875,8.875,0.6791639924049377,59900
1999-03-26,8.9375,9.0,8.875,8.9375,0.6839473247528076,76600
1999-03-29,8.875,9.125,8.875,9.0,0.6887298822402954,102600
1999-03-30,9.0625,9.0625,8.875,8.875,0.6791639924049377,117000
1999-03-31,8.9375,8.9375,8.75,8.875,0.6791639924049377,92100
1999-04-01,8.8125,8.9375,8.8125,8.875,0.6791639924049377,69400
1999-04-05,8.9375,9.0625,8.875,8.9375,0.6839473247528076,88900
1999-04-06,9.0,9.0,8.8125,8.875,0.6791639924049377,120400
1999-04-07,8.8125,8.9375,8.8125,8.8125,0.6743815541267395,97300
1999-04-08,8.875,9.0,8.875,9.0,0.6887298822402954,76000
1999-04-09,9.0625,9.125,9.0,9.0,0.6887298822402954,110300
1999-04-12,9.125,9.125,9.0,9.125,0.6982959508895874,72300
1999-04-13,9.0625,9.0625,9.0,9.0,0.6887298822402954,101900
1999-04-14,9.0,9.0,8.875,8.9375,0.7033277750015259,79700
1999-04-15,8.875,9.0,8.8125,8.9375,0.7033277750015259,90400
1999-04-16,8.9375,8.9375,8.8125,8.9375,0.7033277750015259,53900
1999-04-19,9.0,9.0,8.9375,8.9375,0.7033277750015259,57500
1999-04-20,8.9375,9.0,8.9375,8.9375,0.7033277750015259,40700
1999-04-21,9.0,9.0,8.9375,9.0,0.7082461714744568,130300
1999-04-22,9.0625,9.125,9.0,9.125,0.7180831432342529,58300
1999-04-23,9.0,9.0625,8.9375,9.0625,0.7131643295288086,108400
1999-04-26,9.125,9.125,9.0625,9.125,0.7180831432342529,84700
1999-04-27,9.0625,9.1875,9.0625,9.1875,0.7230014801025391,46400
1999-04-28,9.125,9.1875,9.125,9.125,0.7180831432342529,56600
1999-04-29,9.1875,9.375,9.1875,9.375,0.7377558946609497,115600
